Date,US_Eq_TR_index,CAPE,US_Eq_ret
1871-01-31,1397.7730500000007,,
1871-02-28,1423.482839583334,,0.018393393393393298
1871-03-31,1465.1328930378095,,0.029259259259259318
1871-04-30,1513.3350236475133,,0.03289949385394064
1871-05-31,1558.564797561029,,0.029887482419127975
1871-06-30,1552.6854378994478,,-0.0037722908093277274
1871-07-31,1530.6729541671252,,-0.014177040110650019
1871-08-31,1557.1010636647252,,0.01726568005637752
1871-09-30,1580.397982849688,,0.014961725817675742
1871-10-31,1505.840639994865,,-0.04717630853994481
1871-11-30,1529.3523130231072,,0.015613652868554873
1871-12-31,1569.453864334417,,0.02622126436781591
1872-01-31,1616.4519439251483,,0.029945499296764932
1872-02-29,1630.4961174503005,,0.008688271604938347
1872-03-31,1691.4726628262592,,0.03739754098360648
1872-04-30,1746.1015244714067,,0.03229662698412694
1872-05-31,1753.8741482137048,,0.004451415701415717
1872-06-30,1744.8451950697472,,-0.005148005148005286
1872-07-31,1742.6712245294311,,-0.0012459389213775873
1872-08-31,1730.3329983596827,,-0.007080065359477139
1872-09-30,1707.7310957686752,,-0.013062169312169192
1872-10-31,1723.063301044322,,0.008978114478114474
1872-11-30,1724.7014246051742,,0.0009507042253522613
1872-12-31,1775.2229814875482,,0.02929292929292937
1873-01-31,1798.0551968559566,,0.012861604207757837
1873-02-28,1821.0733529148597,,0.01280169602087411
1873-03-31,1815.990259818131,,-0.002791262135922401
1873-04-30,1800.2943231302052,,-0.008643183300717672
1873-05-31,1813.168451681029,,0.007151124338624415
1873-06-30,1797.4603091540896,,-0.00866336633663356
1873-07-31,1803.400710945554,,0.003304886211512592
1873-08-31,1813.0769052363416,,0.005365526492286943
1873-09-30,1684.255419891959,,-0.07105130784708236
1873-10-31,1547.417311612792,,-0.08124546114742193
1873-11-30,1502.0996506869799,,-0.029285998408910108
1873-12-31,1653.6109397104806,,0.10086633663366307
1874-01-31,1753.6880723739546,,0.060520361990950455
1874-02-28,1816.72299772216,,0.03594420600858372
1874-03-31,1800.6374295131618,,-0.008854166666666607
1874-04-30,1761.6172737996096,,-0.02167019027484174
1874-05-31,1726.1934481851615,,-0.020108695652173547
1874-06-30,1729.083280966721,,0.0016741071428569843
1874-07-31,1739.7446689099015,,0.006165919282511201
1874-08-31,1754.372566910825,,0.008408071748878587
1874-09-30,1792.6390826320346,,0.02181208053691286
1874-10-31,1799.5490350430612,,0.0038546255506608507
1874-11-30,1826.3635074195306,,0.01490066225165565
1874-12-31,1825.3644026561717,,-0.00054704595186017
1875-01-31,1836.337362308703,,0.006011380323054372
1875-02-28,1843.2472220604152,,0.0037628487518355236
1875-03-31,1878.5964720419825,,0.01917770419426068
1875-04-30,1914.0674293935379,,0.01888162672476401
1875-05-31,1850.8654717115019,,-0.033019713261648875
1875-06-30,1824.4689003867575,,-0.014261744966442835
1875-07-31,1839.4818912432506,,0.008228691019787071
1875-08-31,1858.686808482882,,0.010440394836750189
1875-09-30,1852.6281638407183,,-0.0032596371882086528
