Date,DM_World,DM_exUS,Europe,Japan,EM
1989-07-31,,,,,0.012999999999999998
1989-08-31,,,,,0.023700000000000002
1989-09-30,,,,,0.1506
1989-10-31,,,,,-0.015
1989-11-30,,,,,0.0141
1989-12-31,,,,,0.0754
1990-01-31,,,,,0.015899999999999997
1990-02-28,,,,,0.0433
1990-03-31,,,,,-0.044300000000000006
1990-04-30,,,,,-0.004300000000000002
1990-05-31,,,,,0.08810000000000001
1990-06-30,,,,,0.042800000000000005
1990-07-31,0.014500000000000002,0.026699999999999998,0.051399999999999994,0.0078000000000000005,0.0781
1990-08-31,-0.1011,-0.10490000000000001,-0.10220000000000001,-0.11220000000000001,-0.1263
1990-09-30,-0.11290000000000001,-0.1395,-0.1159,-0.16779999999999998,-0.11030000000000001
1990-10-31,0.1003,0.15719999999999998,0.0713,0.25579999999999997,0.0169
1990-11-30,-0.0315,-0.0745,0.0014999999999999996,-0.13549999999999998,-0.0373
1990-12-31,0.0171,0.0104,-0.009500000000000001,0.0253,0.0074
1991-01-31,0.030100000000000002,0.0192,0.020300000000000002,0.0171,0.0254
1991-02-28,0.0951,0.10490000000000001,0.0778,0.1277,0.1279
1991-03-31,-0.018500000000000003,-0.043199999999999995,-0.0626,-0.0376,0.027999999999999997
1991-04-30,0.010700000000000001,0.0148,-0.0034,0.0271,0.005900000000000001
1991-05-31,0.012,-0.0037,0.0096,-0.015599999999999998,0.0496
1991-06-30,-0.0565,-0.063,-0.0699,-0.0667,-0.0345
1991-07-31,0.039599999999999996,0.035199999999999995,0.0579,0.018799999999999997,0.0148
1991-08-31,-0.0083,-0.0287,0.018799999999999997,-0.0678,0.0055000000000000005
1991-09-30,0.0331,0.06,0.0348,0.0912,-0.0304
1991-10-31,0.0178,0.018299999999999997,-0.022000000000000002,0.04479999999999999,0.051899999999999995
1991-11-30,-0.047,-0.051800000000000006,-0.018799999999999997,-0.08129999999999998,-0.0009999999999999998
1991-12-31,0.067,0.042,0.0668,0.0288,0.08900000000000001
1992-01-31,-0.0184,-0.026699999999999998,-0.0018,-0.0533,0.09
1992-02-29,-0.0161,-0.03440000000000001,-0.0015999999999999999,-0.06939999999999999,0.0475
1992-03-31,-0.05140000000000001,-0.0698,-0.034,-0.11109999999999999,-0.0231
1992-04-30,0.0018,-0.008099999999999998,0.053399999999999996,-0.0738,-0.0063999999999999994
1992-05-31,0.0434,0.069,0.0537,0.0901,-0.0032999999999999995
1992-06-30,-0.033800000000000004,-0.0429,-0.008499999999999999,-0.0873,-0.0739
1992-07-31,-0.0027999999999999995,-0.0315,-0.037899999999999996,-0.0296,-0.0018
1992-08-31,0.027000000000000003,0.061200000000000004,-0.0054,0.16630000000000003,-0.0338
1992-09-30,-0.011199999999999998,-0.0276,-0.027300000000000005,-0.025999999999999995,-0.0096
1992-10-31,-0.027600000000000003,-0.0547,-0.07479999999999999,-0.05159999999999999,0.04630000000000001
1992-11-30,0.020500000000000004,0.004699999999999999,-0.004200000000000001,0.0208,-0.0049
1992-12-31,0.0104,0.005,0.015,-0.0075,0.0225
1993-01-31,0.0054,0.0013,0.0086,-0.0064,-0.0063
1993-02-28,0.021099999999999997,0.0341,0.013300000000000001,0.04569999999999999,0.033400000000000006
1993-03-31,0.0692,0.1026,0.056799999999999996,0.161,0.0345
1993-04-30,0.0454,0.09609999999999999,0.0216,0.1692,0.0433
1993-05-31,0.033400000000000006,0.0352,0.011300000000000001,0.0518,0.0433
1993-06-30,-0.0186,-0.0329,-0.0298,-0.039400000000000004,0.0049
1993-07-31,0.024900000000000002,0.0417,0.0127,0.0695,0.0369
1993-08-31,0.0462,0.0506,0.0886,0.024,0.0851
1993-09-30,-0.0169,-0.028099999999999997,-0.0038,-0.049400000000000006,0.0487
1993-10-31,0.013300000000000001,0.0116,0.0268,-0.023399999999999997,0.0964
1993-11-30,-0.0601,-0.08869999999999999,-0.0206,-0.15969999999999998,0.06269999999999999
1993-12-31,0.042600000000000006,0.0597,0.07390000000000001,0.0223,0.18469999999999998
1994-01-31,0.0751,0.10439999999999999,0.061399999999999996,0.17120000000000002,-0.011000000000000001
1994-02-28,-0.0096,-0.0013000000000000004,-0.0325,0.0409,-0.01
1994-03-31,-0.034300000000000004,-0.028399999999999998,-0.0253,-0.0196,-0.11349999999999999
