asset,geo_mean_1928_2025,annual_vol,n_years
US Large Cap,0.10017714854008042,0.19403430168488892,98
US Small Cap,0.11981797332604671,0.37947756035136665,98
3m T-Bill,0.03371627767530261,0.030357980775318236,98
10y T-Bond,0.045345855650651634,0.07902425434968467,98
Baa Corp Bond,0.06629571024862857,0.07650613180308254,98
Real Estate,0.0419795490349999,0.06181777440883643,98
Gold,0.0560913234673297,0.21506020667529469,98
