,vol_calm,vol_stress,mean_calm,mean_stress,vol_multiple
US_LargeCap,0.11987303565789868,0.19326815822541424,0.14452142661321055,0.14867022612510694,1.6122738292619472
US_SmallCap,0.15808136338226303,0.2622839392749788,0.09852462869100431,0.14841115073674568,1.6591705287911722
Mexico_Eq,0.194897085529171,0.2813901043632899,-0.008281938557763047,0.20541895276673566,1.4437881592702069
Brazil_Eq,0.3026773226311278,0.3923922720242117,0.029774656913254777,0.22740253316348566,1.2964045955382635
China_Eq,0.2189686358650683,0.2683108585725572,0.07912161562431443,0.06426424466034074,1.2253392250107196
Japan_Eq,0.12320965476242889,0.1725117816969223,0.054329985737814335,0.1367704143413352,1.4001482434924202
UK_Eq,0.13899062408140883,0.1985319309567503,0.053630860638348876,0.12133511552856943,1.4283836213331
France_Eq,0.1581652000314899,0.2312278989031638,0.09325537330760071,0.10189158248132588,1.4619391551183667
EM_Eq,0.15142454714567466,0.20712521407648563,0.046636607940231715,0.13626892700295987,1.3678443685700798
DM_exUS_Eq,0.12865993244625484,0.18967529498856445,0.06569148250962277,0.12894673679942306,1.4742374831247294
US_Cash_TBill,0.005758187882710928,0.01024356688354149,0.011195366807289485,0.026077892979899674,1.7789566947438449
US_Treas_Interm,0.05854299220431484,0.07453329455381588,0.019462800742186936,0.014349687777453754,1.27313777016547
US_Treas_Long,0.11913243338534042,0.15665280924232705,0.03695073957209706,-0.02394586236798927,1.3149467763797362
US_TIPS,0.040368215259002284,0.06828490818071645,0.021593574028585253,0.03267717863013386,1.6915513292475477
US_IG_Corp,0.057901925976620396,0.10661133572129136,0.036521728333161,0.030443450905645687,1.8412398883646603
US_HighYield,0.0490663754376914,0.10397012571130805,0.046382933511429456,0.04726456994594726,2.1189689432702856
EM_USD_Sov,0.0639593816819383,0.13764988946420617,0.038549983735511335,0.04751590400044055,2.1521454061066634
EM_Local_Debt,0.10335852871872545,0.12267754025833767,-0.001518855648032597,0.0405331944415589,1.1869126019797165
Global_Agg_exUS,0.03475419581123789,0.06547016542188369,0.02822688586622575,0.020158648865771473,1.8838060813570512
US_REITs,0.15035099708517463,0.22415930442919987,0.08659175241834513,0.07583615766548366,1.4909066702245577
Global_REITs_exUS,0.13302857168575805,0.21820481111656026,0.03858497900832385,0.058500900094118666,1.6402853037617116
Commodities,0.1476202411717742,0.21525992541533012,-0.008506111537607053,0.14958084185407858,1.458200607902062
Gold,0.13997786364137543,0.17094379927037237,0.05549580124059014,0.21875678824347328,1.2212202331386621
Mexico_Govt_Local,0.10335852871872545,0.12267754025833767,-0.001518855648032597,0.0405331944415589,1.1869126019797165
