portfolio,p5,p25,p50,p75,p95,mean_ann,P_loss_12y,P_below_infl,P_below_cash,term_p5_per_100k
Conservative 30/70,0.019567976971678627,0.03721916640989581,0.049730287855724864,0.06249728530533505,0.08128243161373666,0.04999114217840919,0.003124,0.080584,0.182584,126181.07926859237
Moderate 60/40,0.012109606103424278,0.03757824726949527,0.055769345989452046,0.07444423516537685,0.10232708251383393,0.056271901262412036,0.017132,0.117188,0.198292,115539.52017567359
Growth 90/10,0.0023996020962717742,0.036044898681047544,0.06012260660972468,0.08495058891282453,0.12231220563038847,0.060898033027035454,0.043264,0.154488,0.2235,102917.83118653588
Edge-Tilted (Moderate risk),0.009642062205551468,0.03771140426932429,0.05776165239130393,0.07842586080728747,0.10915519855041511,0.05837891625016938,0.023324,0.1268,0.201564,112204.2279486325
