,US_LargeCap,US_SmallCap,Mexico_Eq,Brazil_Eq,China_Eq,Japan_Eq,UK_Eq,France_Eq,EM_Eq,DM_exUS_Eq,US_Cash_TBill,US_Treas_Interm,US_Treas_Long,US_TIPS,US_IG_Corp,US_HighYield,EM_USD_Sov,EM_Local_Debt,Global_Agg_exUS,US_REITs,Global_REITs_exUS,Commodities,Gold,Mexico_Govt_Local
US_Cash_TBill,0.1609750292655117,0.12502848019791432,0.15910826066505698,0.1456339670223568,0.1677227789561855,0.2044004651870345,0.10662298174014408,0.08063398922369687,0.20383541926510898,0.15053607377586375,1.0,0.15033492464485776,0.07337689164317414,0.15151360306980852,0.22097120362646025,0.2532195425639015,0.17414126531410226,0.18262138423570687,0.276420118562465,0.12791918061580293,0.1352168040690026,0.08536970761995613,0.23804593757090364,0.18262138423570687
US_Treas_Interm,-0.09145808359585544,-0.17014822310512237,0.052934871759386146,0.045127213037422884,0.03946917069646866,-0.0612603561929588,-0.05716592712329468,-0.001531750087756128,0.10044773284993627,0.011223494107775529,0.15033492464485776,1.0,0.9347634959274237,0.827621684080488,0.8259216257001692,0.2447896958390711,0.5411548709632075,0.3348640558279503,0.76140351288594,0.431895834697957,0.27299362863663956,-0.27785461940218464,0.45561901681867767,0.3348640558279503
US_Treas_Long,-0.06668492067448763,-0.1409656396449254,0.030747846979283813,-0.013404042978941912,0.027129378960502923,-0.11252474193845124,-0.09604007895069885,-0.038337369389642086,0.06709725462124866,-0.0324455181418001,0.07337689164317414,0.9347634959274237,1.0,0.7814457857075128,0.8128304619500326,0.19663326565303418,0.5037159474058727,0.2628146697154766,0.740925332567985,0.47643801730183993,0.23641591804826995,-0.316010303523865,0.40146575346592017,0.2628146697154766
US_TIPS,0.20351689513514684,0.05414663643720239,0.25708590093199724,0.26668711416839314,0.20723249194397056,0.15523647724484824,0.24029275155811858,0.24630787115194455,0.34615911264632643,0.2878336126028682,0.15151360306980852,0.827621684080488,0.7814457857075128,1.0,0.8022474251558591,0.4735084703314582,0.6600497443765482,0.48760432575731383,0.6890494608605986,0.5784245403019965,0.49550404873236215,0.005196661436572998,0.47544430461650306,0.48760432575731383
US_IG_Corp,0.282361572765379,0.1724055025193261,0.341356785892822,0.29940002202465893,0.31904681545552793,0.22252152500608605,0.27874056839064454,0.32828195714667013,0.43740137575728805,0.3663454376073671,0.22097120362646025,0.8259216257001692,0.8128304619500326,0.8022474251558591,1.0,0.5924742268687548,0.7690281715654844,0.5586462399185427,0.7164526055588091,0.5910626639827589,0.5127283303878225,0.01767714691047426,0.46352505626067625,0.5586462399185427
US_HighYield,0.6905845970309835,0.6144748072102038,0.5017711532976777,0.46230874353415613,0.4954623431396619,0.5752904687570636,0.6345661188435742,0.625673826536809,0.6564445893050642,0.6900934556051256,0.2532195425639015,0.2447896958390711,0.19663326565303418,0.4735084703314582,0.5924742268687548,1.0,0.6884362544256436,0.5407124027590222,0.38893254901706475,0.5417992665368799,0.6113330049317518,0.44341058095436475,0.32553971192410347,0.5407124027590222
EM_USD_Sov,0.4516724348127381,0.30740787913640816,0.5396715162202147,0.5693476079000059,0.46179661325050464,0.47125486514585274,0.5049528411959218,0.5257515952461809,0.6839369839254396,0.5986776667749505,0.17414126531410226,0.5411548709632075,0.5037159474058727,0.6600497443765482,0.7690281715654844,0.6884362544256436,1.0,0.8121565821855629,0.48510084505172335,0.5554957517231933,0.6797352864690822,0.20461593365572417,0.4467455171862957,0.8121565821855629
EM_Local_Debt,0.3552812902210753,0.20870726392920544,0.5848951868688895,0.7436141768652939,0.4884828744481259,0.4457146455711656,0.4700346810545206,0.5059247333055571,0.7479220155017383,0.5680227345694502,0.18262138423570687,0.3348640558279503,0.2628146697154766,0.48760432575731383,0.5586462399185427,0.5407124027590222,0.8121565821855629,1.0,0.2739324140863321,0.3495265437972187,0.646910062372303,0.22352671696832077,0.46987812647370925,1.0
Global_Agg_exUS,0.18658813390691642,0.06121548880491047,0.1604670377462642,0.13164662422463508,0.10424133859356878,0.1489192359080132,0.06328541673199228,0.10472019161437705,0.18859376035256584,0.15711344239105257,0.276420118562465,0.76140351288594,0.740925332567985,0.6890494608605986,0.7164526055588091,0.38893254901706475,0.48510084505172335,0.2739324140863321,1.0,0.5056198991984949,0.33069770343406557,-0.2525896117586584,0.34766673686753435,0.2739324140863321
US_REITs,0.5950403528842851,0.5461908050107078,0.3020585613765836,0.23832076761707902,0.2556364670341968,0.3416100050902969,0.46723045359875365,0.43030834786376676,0.4088980700988217,0.5063226638727732,0.12791918061580293,0.431895834697957,0.47643801730183993,0.5784245403019965,0.5910626639827589,0.5417992665368799,0.5554957517231933,0.3495265437972187,0.5056198991984949,1.0,0.6391458261896694,0.06323164111925277,0.17501454774175695,0.3495265437972187
Global_REITs_exUS,0.600758085216395,0.501617870648559,0.5634290550529909,0.5360992956964402,0.6683395437407808,0.649630384174509,0.7524906166498848,0.6873731586471649,0.8113284295944188,0.7977965561783017,0.1352168040690026,0.27299362863663956,0.23641591804826995,0.49550404873236215,0.5127283303878225,0.6113330049317518,0.6797352864690822,0.646910062372303,0.33069770343406557,0.6391458261896694,1.0,0.291844203926493,0.2558621228027942,0.646910062372303
Commodities,0.358750484984957,0.36199219293434803,0.2675632960177559,0.3039773148272651,0.3096945795216529,0.26536222098506934,0.4460221797518425,0.35244419320471215,0.38326174829115406,0.35488045308649363,0.08536970761995613,-0.27785461940218464,-0.316010303523865,0.005196661436572998,0.01767714691047426,0.44341058095436475,0.20461593365572417,0.22352671696832077,-0.2525896117586584,0.06323164111925277,0.291844203926493,1.0,0.1754973224181709,0.22352671696832077
Gold,0.009062111675074293,-0.06913972132309368,0.12633683346555238,0.2869992142227736,0.17130851365849484,-0.046843123867111224,0.12262776910126909,0.13359125092055904,0.2464139245668339,0.11511103285236332,0.23804593757090364,0.45561901681867767,0.40146575346592017,0.47544430461650306,0.46352505626067625,0.32553971192410347,0.4467455171862957,0.46987812647370925,0.34766673686753435,0.17501454774175695,0.2558621228027942,0.1754973224181709,1.0,0.46987812647370925
Mexico_Govt_Local,0.3552812902210753,0.20870726392920544,0.5848951868688895,0.7436141768652939,0.4884828744481259,0.4457146455711656,0.4700346810545206,0.5059247333055571,0.7479220155017383,0.5680227345694502,0.18262138423570687,0.3348640558279503,0.2628146697154766,0.48760432575731383,0.5586462399185427,0.5407124027590222,0.8121565821855629,1.0,0.2739324140863321,0.3495265437972187,0.646910062372303,0.22352671696832077,0.46987812647370925,1.0
