Date,USSPX500,USNDAQ100,US30,US2000,USDMXN,USDJPY,EURUSD,GBPUSD,USDCAD,USDCHF,USDCNH,USDNOK,USDSEK,GOLD,SILVER,USSPX500_ret,USNDAQ100_ret,US30_ret,US2000_ret,USDMXN_ret,USDJPY_ret,EURUSD_ret,GBPUSD_ret,USDCAD_ret,USDCHF_ret,USDCNH_ret,USDNOK_ret,USDSEK_ret,GOLD_ret,SILVER_ret
2019-04-30,2952.9,7837.0,26658.57,,18.92535,111.407,1.1214,1.30287,1.33872,1.01898,6.7346,8.62805,9.49035,1283.2,14.934,0.0412016713386576,0.06136323623017659,0.027231969975165526,,-0.025519335810382127,0.005033874910914893,-0.00024962556165752936,-0.00047564614995132537,0.0027714940600138682,0.02397700779805456,0.002086129470968423,0.0007132998527006329,0.021527714241120988,-0.006841893439831548,-0.012170922079640212
2019-05-31,2751.45,7131.2,24799.35,,19.6093,108.279,1.11681,1.26315,1.35176,1.00063,6.93404,8.74945,9.49278,1305.37,14.564,-0.06822107081174444,-0.09005997192803372,-0.06974192539209723,,0.03613935805678614,-0.028077230335616266,-0.004093097913322463,-0.03048654125123762,0.009740647782956913,-0.018008204282714213,0.029614230986250156,0.014070386703832316,0.00025604956613833885,0.017277119700747967,-0.0247756796571581
2019-06-30,2949.45,7695.48,26648.11,,19.2146,107.821,1.1369,1.2698,1.30941,0.97616,6.86518,8.5242,9.28273,1409.61,15.307,0.07196205637027742,0.0791283374467131,0.07454872809166369,,-0.02012820447440755,-0.004229813721958964,0.017988735774213893,0.0052646162371847716,-0.03132952595135241,-0.024454593606028086,-0.009930718599835187,-0.025744475367022956,-0.02212734309654274,0.07985475382458618,0.0510162043394673
2019-07-31,2972.3,7828.4,26829.25,,19.1418,108.754,1.10754,1.21583,1.3189,0.99383,6.90683,8.84821,9.6565,1412.31,16.232,0.007747207106409748,0.017272476830554995,0.006797480196531813,,-0.0037887856109417584,0.008653230817744273,-0.025824610783710122,-0.042502756339581116,0.007247538967932066,0.018101540731027654,0.0060668474825134044,0.03801060510077181,0.04026509442803983,0.001915423414987183,0.06042986868752842
2019-08-31,2922.25,7669.6,26389.45,,20.05225,106.278,1.09825,1.21594,1.33109,0.98999,7.15949,9.11794,9.81305,1520.25,18.362,-0.016838811694647293,-0.020285115732461168,-0.01639255663128858,,0.04756344753366992,-0.022766978685841432,-0.008387958899904291,9.04731747037868e-05,0.00924255061035728,-0.0038638398921344574,0.03658118123654397,0.03048413181875209,0.016211878009630976,0.07642797969284376,0.13122227698373568
2019-09-30,2982.65,7767.35,26991.5,,19.723,108.067,1.08975,1.22894,1.3239,0.99748,7.13827,9.08842,9.83114,1472.07,16.96,0.020669005047480482,0.01274512360488167,0.022814041217228853,,-0.016419603785111536,0.016833211012627247,-0.007739585704529928,0.010691317005773193,-0.0054015881720995695,0.0075657329872018675,-0.0029638982664965674,-0.0032375733992547895,0.0018434635510875541,-0.031692155895411966,-0.07635333841629444
2019-10-31,3035.25,8084.7,27041.5,,19.23135,108.013,1.1151,1.29282,1.31635,0.98654,7.04472,9.19095,9.6509,1512.52,18.085,0.017635324292156307,0.040856920313878,0.0018524350258415367,,-0.024927749328195525,-0.0004996900071251309,0.02326221610461121,0.05197975491073614,-0.005702847647103382,-0.01096763844889126,-0.013105416298346828,0.011281388844265772,-0.018333580846168318,0.027478312851970443,0.0663325471698113
2019-11-30,3144.0,8418.22,28075.0,,19.53415,109.509,1.10176,1.29327,1.32753,1.00012,7.02932,9.21245,9.5736,1463.85,16.997,0.03582900914257481,0.04125323141242099,0.03821903370744972,,0.015745124497240193,0.013850184699989665,-0.011963052641018712,0.0003480762983245622,0.008493181904508873,0.013765280677924707,-0.0021860343633245405,0.002339257639308201,-0.008009615683511329,-0.03217808690133028,-0.060160353884434636
2019-12-31,3220.55,8709.69,28438.0,,18.87782,108.616,1.12226,1.32514,1.29739,0.96709,6.96269,8.78417,9.36769,1520.21,17.864,0.02434796437659048,0.03462370905013179,0.012929652715939488,,-0.03359910720456227,-0.008154580902026365,0.01860659308742374,0.024642959320172908,-0.02270381836945312,-0.033026036875574816,-0.009478868510752081,-0.04648926181417545,-0.0215081056237989,0.03850121255593142,0.05100900158851562
2020-01-31,3230.0,9006.31,28287.95,,18.82592,108.355,1.10911,1.32029,1.32361,0.96334,6.99565,9.19438,9.62091,1589.52,17.982,0.002934281411560047,0.03405632117790636,-0.005276390744778037,,-0.0027492581240842195,-0.0024029608897400134,-0.011717427334129393,-0.003659990642498112,0.02020980584095744,-0.0038776122180975703,0.004733802596410319,0.046698777459908136,0.02703121046917656,0.045592385262562374,0.006605463502015185
2020-02-29,2988.3,8541.55,25706.45,,19.58959,108.028,1.10262,1.28157,1.34039,0.96504,6.97608,9.38976,9.60345,1586.11,16.66,-0.0748297213622291,-0.05160381998843033,-0.09125793845082442,,0.040564817018238664,-0.0030178579668681538,-0.0058515386210565845,-0.02932689030440272,0.01267745030635914,0.0017646936699400317,-0.002797452702751113,0.021249937461797375,-0.0018147971449685718,-0.002145301726307336,-0.07351796240685127
