vintage,start_yield,realized
1927,0.033308333333333336,0.03599773234459258
1928,0.035775,0.039416879280164796
1929,0.03315833333333333,0.03962462521341026
1930,0.03335833333333332,0.04047824710086734
1931,0.03651666666666667,0.04104987656928216
1932,0.03340833333333334,0.03466057638575437
1933,0.031358333333333335,0.03530354119214252
1934,0.028175,0.03001911682011893
1935,0.026616666666666667,0.029358980755590514
1936,0.026774999999999997,0.02749177105477907
1937,0.025699999999999997,0.027025160438730822
1938,0.023766666666666665,0.024773661104318556
1939,0.022225,0.025019962826934528
1940,0.019716666666666664,0.020078070938626347
1941,0.024175,0.021861881722717635
1942,0.024691666666666667,0.021835035052750085
1943,0.02479166666666667,0.023472077054004892
1944,0.023791666666666666,0.02418045925594048
1945,0.02205,0.0189915451188285
1946,0.02245,0.013542290553569591
1947,0.02424166666666667,0.019295698348360535
1948,0.023208333333333334,0.015172235261307954
1949,0.023191666666666663,0.007848631823918595
1950,0.02549166666666667,0.018570112834956465
1951,0.026708333333333334,0.020951990091648387
1952,0.028175,0.02432127119105254
1953,0.0259,0.02187591694673019
1954,0.025099999999999997,0.022308676015299733
1955,0.0296,0.02441857833544603
1956,0.0359,0.0297059531739563
1957,0.0321,0.0213283215036153
1958,0.038599999999999995,0.02680040382860116
1959,0.046900000000000004,0.024275700395091082
1960,0.0384,0.028874801991952914
1961,0.0406,0.0364100932440552
1962,0.038599999999999995,0.033555714604681874
1963,0.041299999999999996,0.03554534823747324
1964,0.0418,0.03379555677377866
1965,0.0462,0.03672067835102211
1966,0.0484,0.04919663821870279
1967,0.057,0.0522173741251033
1968,0.0603,0.04801401224280788
1969,0.0765,0.0541234374085231
1970,0.0639,0.03477465633364307
1971,0.0593,0.033268390319620034
1972,0.0636,0.06006038297654359
1973,0.0674,0.05959061028291335
1974,0.07429999999999999,0.07120285862765319
1975,0.08,0.09212258256058048
1976,0.0687,0.09969681340809733
1977,0.07690000000000001,0.09271457674435268
1978,0.0901,0.10224452763112879
1979,0.1039,0.11960011874929721
1980,0.1284,0.12981695167774232
1981,0.13720000000000002,0.13672958334467644
1982,0.1054,0.11485682698912725
1983,0.1183,0.12621632172345087
1984,0.115,0.102540379744962
1985,0.0926,0.10056728336483789
1986,0.0711,0.07842773222226818
1987,0.08990000000000001,0.09424826553219479
1988,0.0911,0.10083891545822832
1989,0.0784,0.07375965976014087
1990,0.0808,0.08385354758655317
1991,0.0709,0.0746178884191957
1992,0.0677,0.08014307445958169
1993,0.057699999999999994,0.06628475942617396
1994,0.0781,0.0799893757714163
1995,0.0571,0.060443120925619986
1996,0.063,0.06099843156453333
1997,0.0581,0.06125947744096161
1998,0.04650000000000001,0.06594854809860862
1999,0.06280000000000001,0.06257513653893598
2000,0.0524,0.05486613237092719
2001,0.0509,0.06488185179075767
2002,0.0403,0.053075332415108534
2003,0.042699999999999995,0.042679779872064394
2004,0.042300000000000004,0.048759892009620165
2005,0.0447,0.0471344569003449
2006,0.045599999999999995,0.04582233615022191
2007,0.040999999999999995,0.03857025497493183
2008,0.0242,0.019703397941960077
2009,0.0359,0.041326736225638205
2010,0.0329,0.044048912882551194
2011,0.019799999999999998,0.024000865946321337
2012,0.0172,0.0011539950036607571
2013,0.028999999999999998,0.014611717050573736
2014,0.022099999999999998,0.002651700617840369
2015,0.022400000000000003,0.008918155487982471
