portfolio,p5,p25,p50,p75,p95,mean_ann,P_loss_12y,P_below_infl,P_below_cash,cvar5_ann
Conservative 30/70,0.016938675194978714,0.036052852869033813,0.04949533939361572,0.06305816769599915,0.08286741375923157,0.049649473279714584,0.00623,0.09911,0.20305,0.008634787052869797
Moderate 60/40,0.009690975770354271,0.03649088740348816,0.05541419982910156,0.07490718364715576,0.10325184464454651,0.055860746651887894,0.02376,0.13056,0.21255,-0.0019160547526553273
Growth 90/10,0.00022359553258866072,0.0349574089050293,0.059849321842193604,0.08536240458488464,0.12260079383850098,0.06046055629849434,0.04928,0.16442,0.2335,-0.014465907588601112
Edge-Tilted (Moderate risk),0.00560157373547554,0.03567224740982056,0.057169556617736816,0.07906588912010193,0.11122584342956543,0.0576365664601326,0.03399,0.14683,0.22447,-0.007241876795887947
