,Mexico_Govt_Local
2015-07-01,207.15955250320573
2015-08-01,199.8637065819662
2015-09-01,198.8954179500496
2015-10-01,204.3518149371406
2015-11-01,202.85359611100637
2015-12-01,196.84871174878168
2016-01-01,186.13805604800473
2016-02-01,190.79993700190096
2016-03-01,201.8670609248046
2016-04-01,203.16469797458132
2016-05-01,192.31424265942726
2016-06-01,189.9886499466126
2016-07-01,188.22861842562435
2016-08-01,189.2710322644935
2016-09-01,185.70724601955084
2016-10-01,190.6302981751996
2016-11-01,175.98913132614396
2016-12-01,160.50000673963905
2017-01-01,155.8706363884802
2017-02-01,163.43098126701685
2017-03-01,177.07381463936784
2017-04-01,179.14413454751
2017-05-01,181.8978503884823
2017-06-01,188.86941556931956
2017-07-01,198.22199292140994
2017-08-01,200.0176246084812
2017-09-01,198.57009601684567
2017-10-01,189.4527030169083
2017-11-01,190.0098488035076
2017-12-01,177.03859540428354
2018-01-01,187.8885885949066
2018-02-01,185.45246751378974
2018-03-01,195.1393090158182
2018-04-01,189.78278159333695
2018-05-01,179.24011433254466
2018-06-01,179.28601365168018
2018-07-01,192.34865123146
2018-08-01,186.3658317259153
2018-09-01,192.68132776074305
2018-10-01,174.95547466284077
2018-11-01,164.70947233536896
2018-12-01,171.5595061226443
2019-01-01,182.72479272890115
2019-02-01,184.63943641966196
2019-03-01,190.52421142659801
2019-04-01,195.87028047664393
2019-05-01,187.6232068419176
2019-06-01,200.49655466563024
2019-07-01,204.07343262452957
2019-08-01,196.38046348249156
2019-09-01,207.10288328647755
2019-10-01,217.66675777789058
2019-11-01,214.77950897770683
2019-12-01,219.536341721764
2020-01-01,224.98039319353418
2020-02-01,222.48778465994468
2020-03-01,188.2186840751459
2020-04-01,172.98460517214883
2020-05-01,205.37803401813264
2020-06-01,198.2585999888927
2020-07-01,210.75328604616047
2020-08-01,215.76521548740808
2020-09-01,216.17796982419307
2020-10-01,225.5213376120892
2020-11-01,232.23925702161372
2020-12-01,243.41868542791602
2021-01-01,241.26922430071323
2021-02-01,234.52373698385873
2021-03-01,229.6704659300353
2021-04-01,226.62002228752445
2021-05-01,230.61428944111353
2021-06-01,234.5083229450135
2021-07-01,230.35465661707408
2021-08-01,227.74722883744113
2021-09-01,223.63537087684796
2021-10-01,215.03020450129137
2021-11-01,208.29243715235924
2021-12-01,218.742180647182
2022-01-01,218.81011452551195
2022-02-01,221.0295448196212
2022-03-01,213.5787701159496
2022-04-01,206.78170497605848
2022-05-01,215.35552980438757
2022-06-01,207.4013631853281
2022-07-01,212.28874252939028
