metric,value
p_calm_to_calm,0.8857142857142857
p_calm_to_stress,0.11428571428571428
p_stress_to_calm,0.21153846153846154
p_stress_to_stress,0.7884615384615384
p_stress_uncond,0.33544303797468356
n_months,158.0
