asset,p5,p25,p50,p75,p95,P_loss_12y
US_LargeCap,-0.009799307212233543,0.0261286199092865,0.05152630805969238,0.07766824960708618,0.11631888151168823,0.08502
US_SmallCap,-0.03873429074883461,0.011570632457733154,0.04753977060317993,0.08494812250137329,0.14101848006248474,0.18518
Mexico_Eq,-0.03873200714588165,0.017560482025146484,0.058048784732818604,0.10024905204772949,0.16431573033332825,0.16395
Brazil_Eq,-0.08429713547229767,-0.009316220879554749,0.046228766441345215,0.10465109348297119,0.19503875076770782,0.2881
China_Eq,-0.050018467009067535,0.008155524730682373,0.050534963607788086,0.09466898441314697,0.1614508330821991,0.20853
Japan_Eq,-0.02248726785182953,0.020429521799087524,0.05152463912963867,0.0835297703742981,0.13135412335395813,0.12913
UK_Eq,-0.014777558855712414,0.027689218521118164,0.05825287103652954,0.08973857760429382,0.13657593727111816,0.09661
France_Eq,-0.020050182938575745,0.025447487831115723,0.05809658765792847,0.09182453155517578,0.1421605795621872,0.11367
EM_Eq,-0.020109817385673523,0.028570592403411865,0.06388556957244873,0.10045170783996582,0.1548553705215454,0.10662
DM_exUS_Eq,-0.004123222548514605,0.03686267137527466,0.06622052192687988,0.0962146520614624,0.14075510203838348,0.06073
US_Cash_TBill,0.01632486656308174,0.02588614821434021,0.03243553638458252,0.039131224155426025,0.0487544983625412,0.00056
US_Treas_Interm,0.007095330860465765,0.02773192524909973,0.042198777198791504,0.05682232975959778,0.07859793305397034,0.02337
US_Treas_Long,-0.03166613727807999,0.008556723594665527,0.03709399700164795,0.06615069508552551,0.11050457507371902,0.18986
US_TIPS,0.01497471984475851,0.031649231910705566,0.04324150085449219,0.054907381534576416,0.07232429087162018,0.00578
US_IG_Corp,0.009705859236419201,0.03167003393173218,0.04695582389831543,0.06254121661186218,0.08535951375961304,0.01879
US_HighYield,0.010871388018131256,0.032173097133636475,0.047217369079589844,0.06229877471923828,0.08446431159973145,0.01652
EM_USD_Sov,0.009956116788089275,0.03676021099090576,0.0556488037109375,0.07470211386680603,0.10247332602739334,0.02227
EM_Local_Debt,-0.007661241106688976,0.021469175815582275,0.04227781295776367,0.0637357234954834,0.09497030079364777,0.08349
Global_Agg_exUS,0.010992258787155151,0.026188254356384277,0.03655660152435303,0.047082751989364624,0.0625201016664505,0.00906
US_REITs,-0.02702697366476059,0.01787590980529785,0.049642980098724365,0.08251932263374329,0.13181926310062408,0.14535
Global_REITs_exUS,-0.01815078780055046,0.02314990758895874,0.05268585681915283,0.08296552300453186,0.12820923328399658,0.11271
Commodities,-0.055524829775094986,-0.010963886976242065,0.02104586362838745,0.05412474274635315,0.10486612468957901,0.32993
Gold,-0.06788621842861176,-0.019150570034980774,0.01610654592514038,0.05253303050994873,0.10753194242715836,0.37885
Mexico_Govt_Local,-0.013623401522636414,0.02501615881919861,0.05281627178192139,0.08170583844184875,0.12407371401786804,0.09713
