,US_LargeCap,US_SmallCap,Mexico_Eq,Brazil_Eq,China_Eq,Japan_Eq,UK_Eq,France_Eq,EM_Eq,DM_exUS_Eq,US_Cash_TBill,US_Treas_Interm,US_Treas_Long,US_TIPS,US_IG_Corp,US_HighYield,EM_USD_Sov,EM_Local_Debt,Global_Agg_exUS,US_REITs,Global_REITs_exUS,Commodities,Gold,Mexico_Govt_Local
US_Cash_TBill,7.21072001556388e-06,-3.179207500553484e-05,6.043725120880435e-06,7.587427978764556e-08,3.591421135973094e-05,5.955632542201454e-05,3.398472489123874e-05,-4.067422580873012e-06,5.197393793131165e-05,3.6584436966570594e-05,0.0011575759040177561,1.9779320476246267e-05,7.74272258243428e-06,6.199836802841524e-07,1.2638062759097815e-05,1.3445457559397537e-05,2.8212190290402044e-05,5.2790488019439104e-05,1.0071382358893097e-05,-3.805628538449505e-05,-2.559302610334391e-06,-1.6171822253685524e-05,0.00017032527750872594,5.5565121185647266e-05
US_Treas_Interm,0.0009016535772229306,0.00045848873924106165,0.0011610936619406234,-0.00020281954845873874,0.0015161209942084854,0.0019348135185575104,0.0005999594690792766,0.0016121693970293333,0.0019799076866411727,0.0018118626290677274,1.9779320476246264e-05,0.005640322412423979,0.008654524702364193,0.002359109778522077,0.0034547459968869263,0.0012546667057205748,0.0026511554959181265,0.001928716413521794,0.0019377687394654865,0.004359906022533685,0.0030776751218821374,-0.003397534002279406,0.004492087412139037,0.0011814145692510076
US_Treas_Long,0.002017994295552629,0.0010928917809330501,0.002066721055532174,-0.0015136669148819715,0.003560211711522771,0.0026787075297030143,0.00028195301341308736,0.0024808502861199365,0.004311305186405594,0.0029135419536066025,7.742722582434281e-06,0.008654524702364195,0.022851101910784846,0.004849910150668193,0.00771076075929011,0.002314638200913467,0.005729217238215563,0.0034695369305519017,0.004196770549899218,0.010592551273907755,0.006136983859525318,-0.008305273961125079,0.009341934762299005,0.001653373303570087
US_TIPS,0.002839871043234537,0.003309922839591591,0.0033532336089688256,0.003923198895444985,0.002193139930470762,0.0030683835732823374,0.002957365559988608,0.003481425514460703,0.003721767129104883,0.0034655271502980803,6.199836802841524e-07,0.002359109778522078,0.004849910150668193,0.003565361262243933,0.0027042138134414475,0.0019678157806254488,0.0028328647176909605,0.0023338868587758606,0.0014035187191082977,0.005051941202998199,0.004027950225968806,0.0003714074501205132,0.003661546964684692,0.0016215764026278946
US_IG_Corp,0.005097882455598348,0.006389627245100275,0.007148560762036595,0.007544314714989917,0.005398872422509166,0.00555053205279292,0.005363368110181076,0.00662990775153377,0.007138341322254644,0.00635393787223666,1.2638062759097811e-05,0.0034547459968869263,0.007710760759290109,0.002704213813441448,0.006275233956884526,0.0035192357092573233,0.005334535732436093,0.004442643750801593,0.0023297057030568944,0.008115807762995846,0.007038788709076761,0.0002636841231642131,0.00466239126564029,0.0037571791403646993
US_HighYield,0.0069491892203325115,0.009414875289382339,0.008894964207072857,0.010983425766449386,0.005048895045897894,0.006896463037628055,0.00763245036964102,0.00828070951192067,0.007933574210933459,0.007813434604680905,1.344545755939754e-05,0.0012546667057205746,0.002314638200913467,0.0019678157806254488,0.0035192357092573233,0.00592092829127941,0.004911222627942729,0.004411746719120376,0.001568774353479191,0.007604916612968339,0.007161484831919834,0.004182958252185987,0.003034785820523248,0.004360650460680629
EM_USD_Sov,0.007779535610107698,0.009869202324902293,0.011930523239335066,0.015018695717964952,0.008839232293900387,0.008920555678578707,0.009356323021209062,0.010647429027480436,0.011913357218431746,0.010129764641350934,2.8212190290402037e-05,0.0026511554959181265,0.005729217238215564,0.0028328647176909605,0.005334535732436094,0.00491122262794273,0.009365785780427903,0.007438593889916923,0.0023625160071447902,0.010358563246091478,0.010703980266987054,0.0035198546903464096,0.005499027660833749,0.006661566609552218
EM_Local_Debt,0.007099173810285992,0.008661279743017196,0.014577287523791727,0.023298880160229057,0.011177279351466483,0.009688872532412154,0.010462686235219135,0.011594830381959112,0.014713072862306439,0.0111047241440067,5.279048801943911e-05,0.0019287164135217943,0.0034695369305519017,0.0023338868587758606,0.004442643750801593,0.004411746719120376,0.007438593889916923,0.011847721414317565,0.0016654156213159238,0.008620240903155519,0.011754863888108397,0.004925910672889219,0.007421362042330535,0.008948465274354363
Global_Agg_exUS,0.0021326644425776215,0.0025737174297437485,0.0026698011454514845,0.001923388827234696,0.001057651893344509,0.002338424963149031,0.0017096897359243721,0.0023591959362935884,0.0024746725032190075,0.0023576633686572183,1.0071382358893095e-05,0.0019377687394654868,0.004196770549899219,0.001403518719108298,0.002329705703056894,0.0015687743534791908,0.00236251600714479,0.001665415621315924,0.002892334796226084,0.003831151889994587,0.0029002486025618912,-0.001479680053102906,0.002276858639285651,0.0013360217474736944
US_REITs,0.015160347807952413,0.021526811287435086,0.01752259245656047,0.01908447457069929,0.009202847016812538,0.013404269740501136,0.015538459454805958,0.01656640402785793,0.015608919375039491,0.01621455931959369,-3.805628538449505e-05,0.004359906022533685,0.010592551273907756,0.005051941202998199,0.008115807762995848,0.00760491661296834,0.010358563246091477,0.00862024090315552,0.003831151889994586,0.028458458013663254,0.018482399129676412,0.004734057863391016,0.005170636142336941,0.005870161233480864
Global_REITs_exUS,0.013398026979014925,0.018358635782943056,0.02169447139206753,0.027203791819360935,0.019106287538226113,0.017386699163825976,0.019557483582369733,0.02016505438257479,0.022091490525754973,0.019426798517756805,-2.559302610334391e-06,0.003077675121882137,0.006136983859525318,0.004027950225968806,0.00703878870907676,0.007161484831919835,0.010703980266987056,0.011754863888108397,0.0029002486025618912,0.018482399129676412,0.024035890466896283,0.008064443058159051,0.007985839377941279,0.010784960257505216
Commodities,0.007050699683085207,0.010377430941627167,0.012511496245922673,0.023209094511611926,0.009885164920154005,0.006467577500964511,0.013320028198523832,0.0106851162241738,0.011331778382049339,0.009405528805867203,-1.6171822253685524e-05,-0.0033975340022794065,-0.008305273961125079,0.0003714074501205131,0.0002636841231642131,0.004182958252185987,0.0035198546903464096,0.004925910672889219,-0.001479680053102906,0.004734057863391015,0.008064443058159051,0.02920451344656171,0.004069165751754415,0.0060291189327270674
Gold,0.0017394907875871596,-0.00040841874624424204,0.008208940746890107,0.015101998744432516,0.0092344146666867,0.0034325213528372113,0.00551913749214338,0.005039614442398867,0.010137822978867719,0.00561985752176896,0.0001703252775087259,0.004492087412139038,0.009341934762299005,0.003661546964684692,0.00466239126564029,0.003034785820523248,0.00549902766083375,0.007421362042330535,0.002276858639285651,0.005170636142336941,0.007985839377941279,0.004069165751754415,0.03522449895266138,0.005287676015458378
Mexico_Govt_Local,0.00630627628701357,0.008968480842495982,0.021014549233335372,0.02067611052234503,0.010225108503917698,0.010342420650573628,0.009674961465299208,0.011612118157995193,0.01285789487255765,0.010790755733241486,5.5565121185647266e-05,0.0011814145692510076,0.0016533733035700867,0.0016215764026278946,0.0037571791403646984,0.004360650460680629,0.006661566609552218,0.008948465274354361,0.0013360217474736942,0.0058701612334808645,0.010784960257505215,0.006029118932727067,0.005287676015458378,0.0214747909972902
