,vol_short_15y,vol_blended
US_LargeCap,0.14370935119802708,0.13349247516492757
US_SmallCap,0.19225172242788624,0.19225172242788624
Mexico_Eq,0.21833353488065171,0.21833353488065171
Brazil_Eq,0.31016341237551753,0.31016341237551753
China_Eq,0.22772789468360946,0.22772789468360946
Japan_Eq,0.13684038158946335,0.16466484694507105
UK_Eq,0.15109596800661487,0.16096070146335534
France_Eq,0.1751070178100989,0.17269796027984974
EM_Eq,0.1681364522941319,0.18710482609491094
DM_exUS_Eq,0.14404233342168551,0.15390851173833006
US_Cash_TBill,0.03731898390611576,0.03401700719154699
US_Treas_Interm,0.07082508662013177,0.07503674323380788
US_Treas_Long,0.1313709070036489,0.1511278317165272
US_TIPS,0.05962927802618138,0.05962927802618138
US_IG_Corp,0.0817264750594542,0.07915934856071716
US_HighYield,0.07687519007046614,0.07687519007046614
EM_USD_Sov,0.09669875160613156,0.09669875160613156
EM_Local_Debt,0.10884571985701952,0.10884571985701952
Global_Agg_exUS,0.05368936664620869,0.05368936664620869
US_REITs,0.16859808623023653,0.16859808623023653
Global_REITs_exUS,0.1549722503965357,0.1549722503965357
Commodities,0.17029342107074621,0.17029342107074621
Gold,0.15534948560241715,0.18759578243147695
Mexico_Govt_Local,0.14653671576911761,0.14653671576911761
