,annual_vol
US_LargeCap,0.14234175985396258
US_SmallCap,0.19486800931387036
Mexico_Eq,0.23132387968029905
Brazil_Eq,0.323721027343774
China_Eq,0.2339617406557028
Japan_Eq,0.1403525691852642
UK_Eq,0.15702760526899232
France_Eq,0.18543902665893827
EM_Eq,0.18178609907823562
DM_exUS_Eq,0.1501699687085117
US_Cash_TBill,0.005531219785680351
US_Treas_Interm,0.06257804147310807
US_Treas_Long,0.1349917259360097
US_TIPS,0.049505442684249466
US_IG_Corp,0.07429336038901872
US_HighYield,0.07449351403167956
EM_USD_Sov,0.09418036797867559
EM_Local_Debt,0.11355725309249134
Global_Agg_exUS,0.04040514132815833
US_REITs,0.17277629491248223
Global_REITs_exUS,0.16807328765929042
Commodities,0.17449655641120113
Gold,0.16574948868183706
Mexico_Govt_Local,0.15330714064256157
